timestamp,src_ip,dst_ip,port,protocol,bytes,label
2026-05-04 11:49:10.473699,192.168.1.247,10.0.0.255,22,UDP,4832,normal
2026-05-04 11:49:11.473699,192.168.1.189,10.0.0.115,443,UDP,2821,normal
2026-05-04 11:49:12.473699,192.168.1.198,10.0.0.29,22,UDP,4899,normal
2026-05-04 11:49:13.473699,192.168.1.84,10.0.0.41,22,UDP,2042,normal
2026-05-04 11:49:14.473699,192.168.1.86,10.0.0.131,21,UDP,4083,normal
2026-05-04 11:49:15.473699,192.168.1.141,10.0.0.152,21,TCP,1201,normal
2026-05-04 11:49:16.473699,192.168.1.122,10.0.0.253,80,UDP,2217,normal
2026-05-04 11:49:17.473699,192.168.1.196,10.0.0.179,8080,UDP,2960,normal
2026-05-04 11:49:18.473699,192.168.1.250,10.0.0.48,443,TCP,3743,normal
2026-05-04 11:49:19.473699,192.168.1.92,10.0.0.220,443,UDP,1521,normal
2026-05-04 11:49:20.473699,192.168.1.56,10.0.0.97,22,TCP,276,normal
2026-05-04 11:49:21.473699,192.168.1.206,10.0.0.67,22,TCP,1542,normal
2026-05-04 11:49:22.473699,192.168.1.2,10.0.0.9,8080,TCP,2173,normal
2026-05-04 11:49:23.473699,192.168.1.205,10.0.0.139,443,UDP,4334,normal
2026-05-04 11:49:24.473699,192.168.1.248,10.0.0.83,21,UDP,942,normal
2026-05-04 11:49:25.473699,192.168.1.207,10.0.0.71,8080,UDP,1953,normal
2026-05-04 11:49:26.473699,192.168.1.133,10.0.0.108,443,TCP,1886,normal
2026-05-04 11:49:27.473699,192.168.1.36,10.0.0.243,22,TCP,3759,normal
2026-05-04 11:49:28.473699,192.168.1.20,10.0.0.111,21,TCP,4621,normal
2026-05-04 11:49:29.473699,192.168.1.255,10.0.0.126,80,UDP,1756,normal
2026-05-04 11:49:30.473699,192.168.1.234,10.0.0.145,22,TCP,2089,normal
2026-05-04 11:49:31.473699,192.168.1.244,10.0.0.211,8080,UDP,1946,normal
2026-05-04 11:49:32.473699,192.168.1.91,10.0.0.82,80,TCP,4623,normal
2026-05-04 11:49:33.473699,192.168.1.213,10.0.0.18,80,UDP,4544,normal
2026-05-04 11:49:34.473699,192.168.1.236,10.0.0.54,22,TCP,535,normal
2026-05-04 11:49:35.473699,192.168.1.226,10.0.0.230,80,UDP,2769,normal
2026-05-04 11:49:36.473699,192.168.1.141,10.0.0.255,21,UDP,421,normal
2026-05-04 11:49:37.473699,192.168.1.180,10.0.0.194,21,UDP,3029,normal
2026-05-04 11:49:38.473699,192.168.1.184,10.0.0.69,21,UDP,4162,normal
2026-05-04 11:49:39.473699,192.168.1.243,10.0.0.139,21,UDP,4827,normal
2026-05-04 11:49:40.473699,192.168.1.85,10.0.0.126,8080,UDP,789,normal
2026-05-04 11:49:41.473699,192.168.1.50,10.0.0.47,8080,UDP,1151,normal
2026-05-04 11:49:42.473699,192.168.1.15,10.0.0.192,8080,UDP,3820,normal
2026-05-04 11:49:43.473699,192.168.1.39,10.0.0.231,8080,TCP,4337,normal
2026-05-04 11:49:44.473699,192.168.1.111,10.0.0.133,8080,UDP,1843,normal
2026-05-04 11:49:45.473699,192.168.1.146,10.0.0.67,80,UDP,4348,normal
2026-05-04 11:49:46.473699,192.168.1.26,10.0.0.215,80,TCP,4388,normal
2026-05-04 11:49:47.473699,192.168.1.177,10.0.0.30,21,UDP,2541,normal
2026-05-04 11:49:48.473699,192.168.1.79,10.0.0.124,443,TCP,1472,normal
2026-05-04 11:49:49.473699,192.168.1.6,10.0.0.68,21,TCP,1306,normal
2026-05-04 11:49:50.473699,192.168.1.142,10.0.0.191,80,TCP,4840,normal
2026-05-04 11:49:51.473699,192.168.1.255,10.0.0.160,5555,TCP,35543,suspicious
2026-05-04 11:49:52.473699,192.168.1.193,10.0.0.127,80,TCP,2855,normal
2026-05-04 11:49:53.473699,192.168.1.149,10.0.0.44,443,UDP,257,normal
2026-05-04 11:49:54.473699,192.168.1.132,10.0.0.66,443,UDP,3584,normal
2026-05-04 11:49:55.473699,192.168.1.117,10.0.0.100,443,TCP,4492,normal
2026-05-04 11:49:56.473699,192.168.1.239,10.0.0.202,9999,TCP,32746,suspicious
2026-05-04 11:49:57.473699,192.168.1.129,10.0.0.209,9999,TCP,33844,suspicious
2026-05-04 11:49:58.473699,192.168.1.77,10.0.0.229,22,TCP,619,normal
2026-05-04 11:49:59.473699,192.168.1.23,10.0.0.179,443,TCP,358,normal
2026-05-04 11:50:00.473699,192.168.1.179,10.0.0.165,21,TCP,4239,normal
2026-05-04 11:50:01.473699,192.168.1.93,10.0.0.21,8080,UDP,440,normal
2026-05-04 11:50:02.473699,192.168.1.239,10.0.0.161,443,TCP,1063,normal
2026-05-04 11:50:03.473699,192.168.1.105,10.0.0.183,8080,TCP,3697,normal
2026-05-04 11:50:04.473699,192.168.1.204,10.0.0.73,443,UDP,471,normal
2026-05-04 11:50:05.473699,192.168.1.2,10.0.0.232,21,UDP,4719,normal
2026-05-04 11:50:06.473699,192.168.1.168,10.0.0.14,21,UDP,1653,normal
2026-05-04 11:50:07.473699,192.168.1.251,10.0.0.181,80,UDP,4122,normal
2026-05-04 11:50:08.473699,192.168.1.225,10.0.0.32,80,UDP,2925,normal
2026-05-04 11:50:09.473699,192.168.1.94,10.0.0.121,443,TCP,243,normal
2026-05-04 11:50:10.473699,192.168.1.41,10.0.0.137,8080,TCP,3795,normal
2026-05-04 11:50:11.473699,192.168.1.253,10.0.0.137,21,TCP,3539,normal
2026-05-04 11:50:12.473699,192.168.1.104,10.0.0.186,8080,TCP,519,normal
2026-05-04 11:50:13.473699,192.168.1.199,10.0.0.121,21,TCP,2621,normal
2026-05-04 11:50:14.473699,192.168.1.209,10.0.0.205,22,UDP,1891,normal
2026-05-04 11:50:15.473699,192.168.1.132,10.0.0.93,443,TCP,1885,normal
2026-05-04 11:50:16.473699,192.168.1.206,10.0.0.56,80,UDP,3935,normal
2026-05-04 11:50:17.473699,192.168.1.208,10.0.0.255,80,UDP,4893,normal
2026-05-04 11:50:18.473699,192.168.1.103,10.0.0.166,80,TCP,2169,normal
2026-05-04 11:50:19.473699,192.168.1.15,10.0.0.38,8080,UDP,648,normal
2026-05-04 11:50:20.473699,192.168.1.170,10.0.0.7,443,TCP,4773,normal
2026-05-04 11:50:21.473699,192.168.1.177,10.0.0.107,22,TCP,1749,normal
2026-05-04 11:50:22.473699,192.168.1.134,10.0.0.9,22,UDP,2267,normal
2026-05-04 11:50:23.473699,192.168.1.143,10.0.0.11,21,TCP,2160,normal
2026-05-04 11:50:24.473699,192.168.1.149,10.0.0.246,5555,TCP,32503,suspicious
2026-05-04 11:50:25.473699,192.168.1.115,10.0.0.113,21,UDP,1012,normal
2026-05-04 11:50:26.473699,192.168.1.138,10.0.0.220,443,TCP,739,normal
2026-05-04 11:50:27.473699,192.168.1.90,10.0.0.188,443,UDP,3239,normal
2026-05-04 11:50:28.473699,192.168.1.168,10.0.0.28,443,TCP,4032,normal
2026-05-04 11:50:29.473699,192.168.1.189,10.0.0.91,21,TCP,4025,normal
2026-05-04 11:50:30.473699,192.168.1.182,10.0.0.4,9999,TCP,35224,suspicious
2026-05-04 11:50:31.473699,192.168.1.169,10.0.0.59,22,TCP,3847,normal
2026-05-04 11:50:32.473699,192.168.1.234,10.0.0.240,8080,TCP,401,normal
2026-05-04 11:50:33.473699,192.168.1.217,10.0.0.255,443,UDP,1889,normal
2026-05-04 11:50:34.473699,192.168.1.112,10.0.0.68,8080,TCP,1236,normal
2026-05-04 11:50:35.473699,192.168.1.80,10.0.0.209,22,TCP,3794,normal
2026-05-04 11:50:36.473699,192.168.1.15,10.0.0.12,9999,TCP,61944,suspicious
2026-05-04 11:50:37.473699,192.168.1.255,10.0.0.89,8080,TCP,1663,normal
2026-05-04 11:50:38.473699,192.168.1.216,10.0.0.19,22,UDP,1794,normal
2026-05-04 11:50:39.473699,192.168.1.162,10.0.0.3,443,TCP,4003,normal
2026-05-04 11:50:40.473699,192.168.1.143,10.0.0.98,21,UDP,4449,normal
2026-05-04 11:50:41.473699,192.168.1.216,10.0.0.177,21,UDP,4302,normal
2026-05-04 11:50:42.473699,192.168.1.167,10.0.0.145,21,TCP,1390,normal
2026-05-04 11:50:43.473699,192.168.1.247,10.0.0.170,22,TCP,2849,normal
2026-05-04 11:50:44.473699,192.168.1.16,10.0.0.116,22,UDP,428,normal
2026-05-04 11:50:45.473699,192.168.1.139,10.0.0.250,9999,TCP,41656,suspicious
2026-05-04 11:50:46.473699,192.168.1.82,10.0.0.88,22,UDP,4402,normal
2026-05-04 11:50:47.473699,192.168.1.80,10.0.0.210,22,UDP,322,normal
2026-05-04 11:50:48.473699,192.168.1.41,10.0.0.43,21,TCP,4986,normal
2026-05-04 11:50:49.473699,192.168.1.87,10.0.0.41,4444,TCP,34230,suspicious
2026-05-04 11:50:50.473699,192.168.1.154,10.0.0.116,8080,TCP,770,normal
2026-05-04 11:50:51.473699,192.168.1.190,10.0.0.29,8080,UDP,1038,normal
2026-05-04 11:50:52.473699,192.168.1.213,10.0.0.156,21,TCP,4542,normal
2026-05-04 11:50:53.473699,192.168.1.108,10.0.0.241,443,UDP,1655,normal
2026-05-04 11:50:54.473699,192.168.1.170,10.0.0.52,22,UDP,3714,normal
2026-05-04 11:50:55.473699,192.168.1.162,10.0.0.110,22,TCP,884,normal
2026-05-04 11:50:56.473699,192.168.1.160,10.0.0.235,22,TCP,4701,normal
